# x	y	u	v	mask
  3.5434	189.1955	 -0.0273	  0.0566	  0.0000
  6.1574	189.1955	  0.0265	  0.1665	  0.0000
  8.7714	189.1955	  0.3054	  0.2954	  0.0000
 11.3854	189.1955	  0.2938	  0.3101	  0.0000
 13.9994	189.1955	  0.1833	  0.2425	  0.0000
 16.6134	189.1955	  0.0315	  0.1373	  0.0000
 19.2274	189.1955	 -0.1196	  0.0062	  0.0000
 21.8414	189.1955	 -0.2018	 -0.0594	  0.0000
 24.4554	189.1955	 -0.2578	 -0.0565	  0.0000
 27.0694	189.1955	 -0.1574	 -0.0083	  0.0000
 29.6834	189.1955	 -0.0084	  0.0714	  0.0000
 32.2974	189.1955	  0.0688	  0.2065	  0.0000
 34.9114	189.1955	  0.1667	  0.3880	  0.0000
 37.5254	189.1955	  0.3157	  0.4979	  0.0000
 40.1394	189.1955	  0.4946	  0.6356	  0.0000
 42.7534	189.1955	  0.5490	  0.6617	  0.0000
 45.3674	189.1955	  0.4544	  0.5353	  0.0000
 47.9814	189.1955	  0.2213	  0.4531	  0.0000
 50.5954	189.1955	  0.0697	  0.2673	  0.0000
 53.2094	189.1955	 -0.0049	  0.1095	  0.0000
 55.8234	189.1955	 -0.0503	  0.0046	  0.0000
 58.4374	189.1955	 -0.1959	 -0.0568	  0.0000
 61.0514	189.1955	 -0.2495	 -0.1228	  0.0000
 63.6654	189.1955	 -0.1808	 -0.1318	  0.0000
 66.2794	189.1955	 -0.1697	 -0.0824	  0.0000
 68.8934	189.1955	 -0.0999	 -0.0508	  0.0000
 71.5074	189.1955	 -0.0756	 -0.0148	  0.0000
 74.1214	189.1955	 -0.0723	  0.0060	  0.0000
 76.7354	189.1955	 -0.0581	  0.0136	  0.0000
 79.3494	189.1955	 -0.0332	  0.0098	  0.0000
 81.9634	189.1955	 -0.0834	  0.0229	  0.0000
 84.5774	189.1955	 -0.1019	  0.0458	  0.0000
 87.1914	189.1955	 -0.0441	  0.0174	  0.0000
 89.8054	189.1955	 -0.0508	  0.0094	  0.0000
 92.4194	189.1955	 -0.0769	 -0.0089	  0.0000
 95.0334	189.1955	 -0.1578	 -0.0518	  0.0000
 97.6474	189.1955	 -0.2463	 -0.0955	  0.0000
100.2614	189.1955	 -0.2800	 -0.1783	  0.0000
102.8754	189.1955	 -0.2744	 -0.1741	  0.0000
105.4894	189.1955	 -0.2217	 -0.1251	  0.0000
108.1034	189.1955	 -0.1787	 -0.1181	  0.0000
110.7174	189.1955	 -0.1113	 -0.0764	  0.0000
113.3314	189.1955	 -0.1142	 -0.0278	  0.0000
115.9454	189.1955	 -0.0764	 -0.0651	  0.0000
118.5594	189.1955	 -0.0927	 -0.0631	  0.0000
121.1734	189.1955	 -0.0604	 -0.0535	  0.0000
123.7874	189.1955	 -0.0236	 -0.0454	  0.0000
126.4014	189.1955	 -0.0231	 -0.0743	  0.0000
129.0154	189.1955	 -0.0189	 -0.0785	  0.0000
131.6294	189.1955	 -0.0101	 -0.0264	  0.0000
134.2434	189.1955	 -0.0113	 -0.0182	  0.0000
136.8574	189.1955	 -0.0044	 -0.0092	  0.0000
139.4714	189.1955	  0.0153	  0.0065	  0.0000
142.0854	189.1955	  0.0190	  0.0081	  0.0000
144.6994	189.1955	  0.0030	  0.0205	  0.0000
147.3134	189.1955	 -0.0732	 -0.0276	  0.0000
149.9274	189.1955	 -0.1551	 -0.0802	  0.0000
152.5414	189.1955	 -0.1582	 -0.1038	  0.0000
155.1554	189.1955	 -0.0680	 -0.1017	  0.0000
157.7694	189.1955	 -0.0393	 -0.0698	  0.0000
160.3834	189.1955	 -0.0306	 -0.0766	  0.0000
162.9974	189.1955	 -0.0205	 -0.1093	  0.0000
165.6114	189.1955	 -0.0142	 -0.1214	  0.0000
168.2254	189.1955	  0.0141	 -0.0983	  0.0000
170.8394	189.1955	  0.0819	 -0.0714	  0.0000
173.4534	189.1955	  0.0855	 -0.0690	  0.0000
176.0674	189.1955	  0.0589	 -0.0581	  0.0000
178.6814	189.1955	  0.0127	 -0.0455	  0.0000
181.2954	189.1955	 -0.0065	 -0.0956	  0.0000
183.9094	189.1955	 -0.0193	 -0.1221	  0.0000
186.5234	189.1955	 -0.0630	 -0.1535	  0.0000
189.1374	189.1955	 -0.1095	 -0.2004	  0.0000
191.7514	189.1955	 -0.0829	 -0.2091	  0.0000
194.3654	189.1955	 -0.0528	 -0.1865	  0.0000
196.9794	189.1955	 -0.0324	 -0.1441	  0.0000
199.5934	189.1955	 -0.0312	 -0.0794	  0.0000
202.2074	189.1955	 -0.0221	 -0.0983	  0.0000
204.8214	189.1955	 -0.0283	 -0.1437	  0.0000
207.4354	189.1955	 -0.0046	 -0.1411	  0.0000
210.0494	189.1955	  0.0141	 -0.1208	  0.0000
212.6634	189.1955	  0.0216	 -0.1101	  0.0000
  3.5434	186.5815	 -0.0725	  0.0560	  0.0000
  6.1574	186.5815	 -0.0085	  0.1257	  0.0000
  8.7714	186.5815	  0.1785	  0.2499	  0.0000
 11.3854	186.5815	  0.2674	  0.3134	  0.0000
 13.9994	186.5815	  0.2371	  0.3230	  0.0000
 16.6134	186.5815	  0.1780	  0.2762	  0.0000
 19.2274	186.5815	  0.0221	  0.1106	  0.0000
 21.8414	186.5815	 -0.0944	  0.0087	  0.0000
 24.4554	186.5815	 -0.2399	 -0.0236	  0.0000
 27.0694	186.5815	 -0.2669	 -0.0208	  0.0000
 29.6834	186.5815	 -0.1795	 -0.0027	  0.0000
 32.2974	186.5815	 -0.0811	  0.0772	  0.0000
 34.9114	186.5815	  0.0072	  0.1889	  0.0000
 37.5254	186.5815	  0.1778	  0.3790	  0.0000
 40.1394	186.5815	  0.4117	  0.5372	  0.0000
 42.7534	186.5815	  0.5437	  0.6316	  0.0000
 45.3674	186.5815	  0.5159	  0.6354	  0.0000
 47.9814	186.5815	  0.3274	  0.5882	  0.0000
 50.5954	186.5815	  0.2579	  0.4592	  0.0000
 53.2094	186.5815	  0.1355	  0.3309	  0.0000
 55.8234	186.5815	 -0.0013	  0.1262	  0.0000
 58.4374	186.5815	 -0.0588	  0.0437	  0.0000
 61.0514	186.5815	 -0.1848	 -0.0582	  0.0000
 63.6654	186.5815	 -0.2124	 -0.1407	  0.0000
 66.2794	186.5815	 -0.2325	 -0.0956	  0.0000
 68.8934	186.5815	 -0.1197	 -0.0424	  0.0000
 71.5074	186.5815	 -0.0862	 -0.0133	  0.0000
 74.1214	186.5815	 -0.0999	 -0.0031	  0.0000
 76.7354	186.5815	 -0.0683	  0.0102	  0.0000
 79.3494	186.5815	 -0.0693	  0.0159	  0.0000
 81.9634	186.5815	 -0.0820	  0.0366	  0.0000
 84.5774	186.5815	 -0.0901	  0.0337	  0.0000
 87.1914	186.5815	 -0.0498	  0.0349	  0.0000
 89.8054	186.5815	 -0.0422	  0.0376	  0.0000
 92.4194	186.5815	 -0.0486	  0.0148	  0.0000
 95.0334	186.5815	 -0.0855	 -0.0125	  0.0000
 97.6474	186.5815	 -0.1519	 -0.0606	  0.0000
100.2614	186.5815	 -0.2443	 -0.0914	  0.0000
102.8754	186.5815	 -0.2792	 -0.1418	  0.0000
105.4894	186.5815	 -0.2414	 -0.1159	  0.0000
108.1034	186.5815	 -0.2187	 -0.0758	  0.0000
110.7174	186.5815	 -0.1760	 -0.0704	  0.0000
113.3314	186.5815	 -0.1528	 -0.0270	  0.0000
115.9454	186.5815	 -0.0708	 -0.0287	  0.0000
118.5594	186.5815	 -0.0812	 -0.0460	  0.0000
121.1734	186.5815	 -0.0478	 -0.0509	  0.0000
123.7874	186.5815	 -0.0325	 -0.0456	  0.0000
126.4014	186.5815	 -0.0439	 -0.0513	  0.0000
129.0154	186.5815	 -0.0121	 -0.0420	  0.0000
131.6294	186.5815	 -0.0430	 -0.0258	  0.0000
134.2434	186.5815	 -0.0280	 -0.0191	  0.0000
136.8574	186.5815	 -0.0502	 -0.0123	  0.0000
139.4714	186.5815	 -0.0203	  0.0122	  0.0000
142.0854	186.5815	  0.0162	  0.0243	  0.0000
144.6994	186.5815	  0.0202	  0.0420	  0.0000
147.3134	186.5815	 -0.0235	  0.0131	  0.0000
149.9274	186.5815	 -0.0941	 -0.0280	  0.0000
152.5414	186.5815	 -0.1126	 -0.0766	  0.0000
155.1554	186.5815	 -0.1010	 -0.0842	  0.0000
157.7694	186.5815	 -0.0419	 -0.0770	  0.0000
160.3834	186.5815	 -0.0134	 -0.0872	  0.0000
162.9974	186.5815	 -0.0073	 -0.1293	  0.0000
165.6114	186.5815	 -0.0159	 -0.1234	  0.0000
168.2254	186.5815	 -0.0049	 -0.1088	  0.0000
170.8394	186.5815	  0.0270	 -0.0985	  0.0000
173.4534	186.5815	  0.0450	 -0.0388	  0.0000
176.0674	186.5815	  0.0460	 -0.0210	  0.0000
178.6814	186.5815	  0.0174	 -0.0193	  0.0000
181.2954	186.5815	  0.0112	 -0.0388	  0.0000
183.9094	186.5815	  0.0008	 -0.0629	  0.0000
186.5234	186.5815	 -0.0593	 -0.1097	  0.0000
189.1374	186.5815	 -0.0977	 -0.1566	  0.0000
191.7514	186.5815	 -0.1225	 -0.1663	  0.0000
194.3654	186.5815	 -0.0816	 -0.1708	  0.0000
196.9794	186.5815	 -0.0735	 -0.1398	  0.0000
199.5934	186.5815	 -0.0297	 -0.1217	  0.0000
202.2074	186.5815	 -0.0402	 -0.1366	  0.0000
204.8214	186.5815	 -0.0401	 -0.1570	  0.0000
207.4354	186.5815	 -0.0025	 -0.1368	  0.0000
210.0494	186.5815	 -0.0013	 -0.1134	  0.0000
212.6634	186.5815	  0.0112	 -0.1014	  0.0000
  3.5434	183.9675	 -0.0425	  0.0725	  0.0000
  6.1574	183.9675	 -0.0467	  0.0947	  0.0000
  8.7714	183.9675	  0.0572	  0.1611	  0.0000
 11.3854	183.9675	  0.2045	  0.2552	  0.0000
 13.9994	183.9675	  0.2541	  0.2986	  0.0000
 16.6134	183.9675	  0.2479	  0.2909	  0.0000
 19.2274	183.9675	  0.1139	  0.1597	  0.0000
 21.8414	183.9675	 -0.0001	  0.0731	  0.0000
 24.4554	183.9675	 -0.1809	 -0.0242	  0.0000
 27.0694	183.9675	 -0.2854	 -0.0684	  0.0000
 29.6834	183.9675	 -0.2730	 -0.0269	  0.0000
 32.2974	183.9675	 -0.2100	  0.0006	  0.0000
 34.9114	183.9675	 -0.1162	  0.0329	  0.0000
 37.5254	183.9675	  0.0172	  0.2206	  0.0000
 40.1394	183.9675	  0.1529	  0.3685	  0.0000
 42.7534	183.9675	  0.3920	  0.5371	  0.0000
 45.3674	183.9675	  0.5132	  0.6436	  0.0000
 47.9814	183.9675	  0.4059	  0.6653	  0.0000
 50.5954	183.9675	  0.3516	  0.5540	  0.0000
 53.2094	183.9675	  0.2791	  0.4488	  0.0000
 55.8234	183.9675	  0.0909	  0.2379	  0.0000
 58.4374	183.9675	  0.0220	  0.1294	  0.0000
 61.0514	183.9675	 -0.0146	  0.0245	  0.0000
 63.6654	183.9675	 -0.1936	 -0.0085	  0.0000
 66.2794	183.9675	 -0.2561	 -0.0659	  0.0000
 68.8934	183.9675	 -0.1626	 -0.0787	  0.0000
 71.5074	183.9675	 -0.1107	 -0.0162	  0.0000
 74.1214	183.9675	 -0.1260	 -0.0101	  0.0000
 76.7354	183.9675	 -0.1044	 -0.0050	  0.0000
 79.3494	183.9675	 -0.0953	  0.0114	  0.0000
 81.9634	183.9675	 -0.0982	  0.0133	  0.0000
 84.5774	183.9675	 -0.0891	  0.0184	  0.0000
 87.1914	183.9675	 -0.0471	  0.0235	  0.0000
 89.8054	183.9675	 -0.0244	  0.0274	  0.0000
 92.4194	183.9675	 -0.0089	  0.0228	  0.0000
 95.0334	183.9675	 -0.0306	  0.0068	  0.0000
 97.6474	183.9675	 -0.0779	 -0.0123	  0.0000
100.2614	183.9675	 -0.1978	 -0.0395	  0.0000
102.8754	183.9675	 -0.2366	 -0.0946	  0.0000
105.4894	183.9675	 -0.2470	 -0.1214	  0.0000
108.1034	183.9675	 -0.2413	 -0.1460	  0.0000
110.7174	183.9675	 -0.1647	 -0.1155	  0.0000
113.3314	183.9675	 -0.1494	 -0.0586	  0.0000
115.9454	183.9675	 -0.0996	 -0.0599	  0.0000
118.5594	183.9675	 -0.0761	 -0.0462	  0.0000
121.1734	183.9675	 -0.0498	 -0.0673	  0.0000
123.7874	183.9675	 -0.0489	 -0.0794	  0.0000
126.4014	183.9675	 -0.0498	 -0.0573	  0.0000
129.0154	183.9675	 -0.0146	 -0.0248	  0.0000
131.6294	183.9675	 -0.0618	 -0.0129	  0.0000
134.2434	183.9675	 -0.0553	 -0.0078	  0.0000
136.8574	183.9675	 -0.0771	 -0.0005	  0.0000
139.4714	183.9675	 -0.0466	  0.0162	  0.0000
142.0854	183.9675	 -0.0032	  0.0130	  0.0000
144.6994	183.9675	  0.0172	  0.0266	  0.0000
147.3134	183.9675	  0.0154	  0.0563	  0.0000
149.9274	183.9675	 -0.0295	  0.0049	  0.0000
152.5414	183.9675	 -0.0653	 -0.0208	  0.0000
155.1554	183.9675	 -0.0867	 -0.0729	  0.0000
157.7694	183.9675	 -0.0258	 -0.0973	  0.0000
160.3834	183.9675	  0.0028	 -0.0618	  0.0000
162.9974	183.9675	 -0.0039	 -0.0983	  0.0000
165.6114	183.9675	 -0.0191	 -0.1192	  0.0000
168.2254	183.9675	 -0.0188	 -0.0852	  0.0000
170.8394	183.9675	 -0.0045	 -0.0796	  0.0000
173.4534	183.9675	  0.0207	 -0.0448	  0.0000
176.0674	183.9675	  0.0412	 -0.0123	  0.0000
178.6814	183.9675	  0.0389	 -0.0045	  0.0000
181.2954	183.9675	  0.0297	 -0.0102	  0.0000
183.9094	183.9675	  0.0233	 -0.0202	  0.0000
186.5234	183.9675	 -0.0132	 -0.0559	  0.0000
189.1374	183.9675	 -0.0383	 -0.1353	  0.0000
191.7514	183.9675	 -0.1084	 -0.1578	  0.0000
194.3654	183.9675	 -0.1244	 -0.1374	  0.0000
196.9794	183.9675	 -0.0762	 -0.1282	  0.0000
199.5934	183.9675	 -0.0330	 -0.1092	  0.0000
202.2074	183.9675	 -0.0277	 -0.1204	  0.0000
204.8214	183.9675	 -0.0305	 -0.1269	  0.0000
207.4354	183.9675	 -0.0171	 -0.1083	  0.0000
210.0494	183.9675	 -0.0043	 -0.1153	  0.0000
212.6634	183.9675	  0.0001	 -0.1046	  0.0000
  3.5434	181.3535	  0.0153	  0.1344	  0.0000
  6.1574	181.3535	 -0.0959	  0.0491	  0.0000
  8.7714	181.3535	 -0.0247	  0.0912	  0.0000
 11.3854	181.3535	  0.0944	  0.2459	  0.0000
 13.9994	181.3535	  0.1980	  0.2829	  0.0000
 16.6134	181.3535	  0.2833	  0.3585	  0.0000
 19.2274	181.3535	  0.2388	  0.3289	  0.0000
 21.8414	181.3535	  0.0432	  0.1593	  0.0000
 24.4554	181.3535	 -0.0294	  0.0380	  0.0000
 27.0694	181.3535	 -0.2121	 -0.0032	  0.0000
 29.6834	181.3535	 -0.2718	 -0.0280	  0.0000
 32.2974	181.3535	 -0.2257	 -0.0405	  0.0000
 34.9114	181.3535	 -0.1788	 -0.0284	  0.0000
 37.5254	181.3535	 -0.1541	  0.0133	  0.0000
 40.1394	181.3535	  0.0145	  0.1338	  0.0000
 42.7534	181.3535	  0.2275	  0.4630	  0.0000
 45.3674	181.3535	  0.4000	  0.5602	  0.0000
 47.9814	181.3535	  0.4781	  0.6130	  0.0000
 50.5954	181.3535	  0.4307	  0.6404	  0.0000
 53.2094	181.3535	  0.3498	  0.5351	  0.0000
 55.8234	181.3535	  0.2768	  0.4212	  0.0000
 58.4374	181.3535	  0.1877	  0.2385	  0.0000
 61.0514	181.3535	  0.0331	  0.1796	  0.0000
 63.6654	181.3535	 -0.1220	  0.0173	  0.0000
 66.2794	181.3535	 -0.1855	 -0.0097	  0.0000
 68.8934	181.3535	 -0.2203	 -0.0367	  0.0000
 71.5074	181.3535	 -0.1838	 -0.0412	  0.0000
 74.1214	181.3535	 -0.1434	 -0.0195	  0.0000
 76.7354	181.3535	 -0.1345	 -0.0154	  0.0000
 79.3494	181.3535	 -0.1180	 -0.0017	  0.0000
 81.9634	181.3535	 -0.0932	  0.0002	  0.0000
 84.5774	181.3535	 -0.0880	  0.0000	  0.0000
 87.1914	181.3535	 -0.0722	  0.0084	  0.0000
 89.8054	181.3535	 -0.0282	  0.0133	  0.0000
 92.4194	181.3535	 -0.0018	  0.0264	  0.0000
 95.0334	181.3535	 -0.0254	  0.0312	  0.0000
 97.6474	181.3535	 -0.0632	  0.0270	  0.0000
100.2614	181.3535	 -0.1301	 -0.0150	  0.0000
102.8754	181.3535	 -0.1809	 -0.0531	  0.0000
105.4894	181.3535	 -0.2289	 -0.0826	  0.0000
108.1034	181.3535	 -0.2334	 -0.1201	  0.0000
110.7174	181.3535	 -0.1833	 -0.1613	  0.0000
113.3314	181.3535	 -0.1680	 -0.1447	  0.0000
115.9454	181.3535	 -0.1320	 -0.0794	  0.0000
118.5594	181.3535	 -0.0866	 -0.0515	  0.0000
121.1734	181.3535	 -0.0418	 -0.0513	  0.0000
123.7874	181.3535	 -0.0504	 -0.0636	  0.0000
126.4014	181.3535	 -0.0446	 -0.0297	  0.0000
129.0154	181.3535	 -0.0714	 -0.0148	  0.0000
131.6294	181.3535	 -0.0809	 -0.0102	  0.0000
134.2434	181.3535	 -0.0873	 -0.0090	  0.0000
136.8574	181.3535	 -0.0895	 -0.0016	  0.0000
139.4714	181.3535	 -0.0901	  0.0103	  0.0000
142.0854	181.3535	 -0.0221	  0.0223	  0.0000
144.6994	181.3535	  0.0093	  0.0175	  0.0000
147.3134	181.3535	  0.0297	  0.0408	  0.0000
149.9274	181.3535	  0.0134	  0.0316	  0.0000
152.5414	181.3535	 -0.0297	 -0.0148	  0.0000
155.1554	181.3535	 -0.0482	 -0.0552	  0.0000
157.7694	181.3535	 -0.0147	 -0.0693	  0.0000
160.3834	181.3535	  0.0008	 -0.0664	  0.0000
162.9974	181.3535	 -0.0024	 -0.0670	  0.0000
165.6114	181.3535	 -0.0352	 -0.0945	  0.0000
168.2254	181.3535	 -0.0312	 -0.0661	  0.0000
170.8394	181.3535	 -0.0351	 -0.0532	  0.0000
173.4534	181.3535	 -0.0110	 -0.0215	  0.0000
176.0674	181.3535	  0.0044	 -0.0079	  0.0000
178.6814	181.3535	  0.0233	 -0.0030	  0.0000
181.2954	181.3535	  0.0387	  0.0114	  0.0000
183.9094	181.3535	  0.0350	  0.0016	  0.0000
186.5234	181.3535	  0.0221	 -0.0131	  0.0000
189.1374	181.3535	 -0.0061	 -0.0424	  0.0000
191.7514	181.3535	 -0.0410	 -0.0521	  0.0000
194.3654	181.3535	 -0.1006	 -0.0765	  0.0000
196.9794	181.3535	 -0.0906	 -0.1247	  0.0000
199.5934	181.3535	 -0.0258	 -0.1263	  0.0000
202.2074	181.3535	 -0.0223	 -0.1134	  0.0000
204.8214	181.3535	 -0.0255	 -0.1217	  0.0000
207.4354	181.3535	 -0.0257	 -0.1418	  0.0000
210.0494	181.3535	 -0.0178	 -0.1197	  0.0000
212.6634	181.3535	 -0.0085	 -0.0791	  0.0000
  3.5434	178.7395	  0.0648	  0.1308	  0.0000
  6.1574	178.7395	 -0.0440	  0.0859	  0.0000
  8.7714	178.7395	 -0.0819	  0.0970	  0.0000
 11.3854	178.7395	  0.0122	  0.1480	  0.0000
 13.9994	178.7395	  0.1572	  0.2177	  0.0000
 16.6134	178.7395	  0.2422	  0.3226	  0.0000
 19.2274	178.7395	  0.2937	  0.3791	  0.0000
 21.8414	178.7395	  0.2033	  0.2706	  0.0000
 24.4554	178.7395	  0.0908	  0.2224	  0.0000
 27.0694	178.7395	 -0.0294	  0.0699	  0.0000
 29.6834	178.7395	 -0.1948	  0.0068	  0.0000
 32.2974	178.7395	 -0.2250	 -0.0229	  0.0000
 34.9114	178.7395	 -0.1931	 -0.0264	  0.0000
 37.5254	178.7395	 -0.2058	 -0.0343	  0.0000
 40.1394	178.7395	 -0.1191	  0.0397	  0.0000
 42.7534	178.7395	  0.0051	  0.1701	  0.0000
 45.3674	178.7395	  0.2143	  0.4356	  0.0000
 47.9814	178.7395	  0.4341	  0.5780	  0.0000
 50.5954	178.7395	  0.4652	  0.5873	  0.0000
 53.2094	178.7395	  0.4270	  0.5645	  0.0000
 55.8234	178.7395	  0.3628	  0.5182	  0.0000
 58.4374	178.7395	  0.2600	  0.3644	  0.0000
 61.0514	178.7395	  0.1851	  0.3326	  0.0000
 63.6654	178.7395	  0.0467	  0.2204	  0.0000
 66.2794	178.7395	 -0.0795	  0.0514	  0.0000
 68.8934	178.7395	 -0.1903	 -0.0083	  0.0000
 71.5074	178.7395	 -0.1799	 -0.0239	  0.0000
 74.1214	178.7395	 -0.1429	 -0.0515	  0.0000
 76.7354	178.7395	 -0.1408	 -0.0559	  0.0000
 79.3494	178.7395	 -0.1086	 -0.0232	  0.0000
 81.9634	178.7395	 -0.0952	 -0.0128	  0.0000
