# x	y	u	v	mask
  3.8584	457.7136	  0.3022	  0.0137	  0.0000
  6.6588	457.7136	  0.3402	 -0.0083	  0.0000
  9.4592	457.7136	  0.5057	 -0.2531	  0.0000
 12.2596	457.7136	  0.7506	 -0.3783	  0.0000
 15.0601	457.7136	  0.7882	 -0.4149	  0.0000
 17.8605	457.7136	  0.6622	 -0.2142	  0.0000
 20.6609	457.7136	  0.6081	 -0.2105	  0.0000
 23.4613	457.7136	  0.6971	 -0.0965	  0.0000
 26.2617	457.7136	  0.7484	 -0.4987	  0.0000
 29.0622	457.7136	  0.7899	 -0.6315	  0.0000
 31.8626	457.7136	  0.8760	 -0.6901	  0.0000
 34.6630	457.7136	  0.9526	 -0.7972	  0.0000
 37.4634	457.7136	  0.6982	 -0.8788	  0.0000
 40.2639	457.7136	  0.3053	 -0.8076	  0.0000
 43.0643	457.7136	  0.3230	 -0.6422	  0.0000
 45.8647	457.7136	  0.8454	 -0.8062	  0.0000
 48.6651	457.7136	  0.9039	 -0.6747	  0.0000
 51.4656	457.7136	  0.7738	 -0.6186	  0.0000
 54.2660	457.7136	  0.7912	 -0.6519	  0.0000
 57.0664	457.7136	  0.5557	 -0.3976	  0.0000
 59.8668	457.7136	  0.4327	 -0.2982	  0.0000
 62.6672	457.7136	  0.5506	 -0.2819	  0.0000
 65.4677	457.7136	  0.7723	 -0.2955	  0.0000
 68.2681	457.7136	  0.7523	 -0.4006	  0.0000
 71.0685	457.7136	  0.6429	 -0.3096	  0.0000
 73.8689	457.7136	  0.6350	 -0.2004	  0.0000
 76.6694	457.7136	  0.5103	 -0.1835	  0.0000
 79.4698	457.7136	  0.2445	 -0.0706	  0.0000
 82.2702	457.7136	  0.0586	 -0.1092	  0.0000
 85.0706	457.7136	 -0.0124	 -0.2223	  0.0000
 87.8711	457.7136	  0.0056	 -0.3243	  0.0000
 90.6715	457.7136	  1.0124	 -0.6918	  0.0000
 93.4719	457.7136	  1.5948	  0.1200	  0.0000
 96.2723	457.7136	  0.6398	 -0.1679	  0.0000
