#df_winsize: 30
#df_searchsize: 30
#df_overlap: 15
#df_dt: 1
#df_sig2noise_method: peak2peak
#df_normalized_correlation: False
#replace_outliers_method: localmean
#pixels_per_mm: 17.3322
#still_name: IMG_0084
#moving_name: IMG_0107
#iterative: False
#set_num: 0
#user_thresh: 0.2
#x y u v mask
  1.0385	190.7432	  0.0918	  0.0103	  0.0000
  1.9040	190.7432	  0.0762	  0.0163	  0.0000
  2.7694	190.7432	  0.0699	  0.0068	  0.0000
  3.6349	190.7432	  0.0593	  0.0111	  0.0000
  4.5003	190.7432	  0.0794	  0.0236	  0.0000
  5.3657	190.7432	  0.1151	  0.0180	  0.0000
  6.2312	190.7432	  0.1133	  0.0239	  0.0000
  7.0966	190.7432	  0.1284	  0.0159	  0.0000
  7.9621	190.7432	  0.0682	  0.0149	  0.0000
  8.8275	190.7432	  0.0758	  0.0137	  0.0000
  9.6929	190.7432	  0.1009	  0.0071	  0.0000
 10.5584	190.7432	  0.1158	  0.0090	  0.0000
 11.4238	190.7432	  0.0751	  0.0275	  0.0000
 12.2893	190.7432	  0.0941	  0.0090	  0.0000
 13.1547	190.7432	  0.1345	 -0.0186	  0.0000
 14.0201	190.7432	  0.1123	  0.0057	  0.0000
 14.8856	190.7432	  0.0318	  0.0551	  0.0000
 15.7510	190.7432	  0.0509	  0.0743	  0.0000
 16.6165	190.7432	  0.1365	  0.0121	  0.0000
 17.4819	190.7432	  0.1302	 -0.0144	  0.0000
 18.3474	190.7432	  0.1376	 -0.0151	  0.0000
 19.2128	190.7432	  0.1116	 -0.0118	  0.0000
 20.0782	190.7432	  0.0436	  0.0418	  0.0000
 20.9437	190.7432	 -0.0597	  0.2186	  0.0000
 21.8091	190.7432	 -0.0702	  0.2197	  0.0000
 22.6746	190.7432	 -0.0164	  0.1821	  0.0000
 23.5400	190.7432	  0.0347	  0.0904	  0.0000
 24.4054	190.7432	  0.0792	 -0.0662	  0.0000
 25.2709	190.7432	  0.0442	 -0.0910	  0.0000
 26.1363	190.7432	  0.3150	 -0.2417	  0.0000
 27.0018	190.7432	  0.3255	 -0.3533	  0.0000
 27.8672	190.7432	  0.3349	 -0.3321	  0.0000
 28.7326	190.7432	  0.3510	 -0.3469	  0.0000
 29.5981	190.7432	  0.3554	 -0.3532	  0.0000
 30.4635	190.7432	  0.0469	  0.1013	  1.0000
 31.3290	190.7432	  0.1374	 -0.1336	  0.0000
 32.1944	190.7432	  0.1469	 -0.0783	  0.0000
